Kategori,Tipe,Telor,Harga
Daging Sapi,Telor Ayam,2,25000
Daging Sapi,Telor Ayam,3,34000
Daging Sapi,Telor Ayam,4,42000
Daging Sapi,Telor Ayam,5,45000
Daging Sapi,Telor Bebek,2,26000
Daging Sapi,Telor Bebek,3,35000
Daging Sapi,Telor Bebek,4,44000
Daging Sapi,Telor Bebek,5,50000
Daging Ayam,Telor Ayam,2,22000
Daging Ayam,Telor Ayam,3,30000
Daging Ayam,Telor Ayam,4,35000
Daging Ayam,Telor Ayam,5,40000
Daging Ayam,Telor Bebek,2,24000
Daging Ayam,Telor Bebek,3,32000
Daging Ayam,Telor Bebek,4,40000
Daging Ayam,Telor Bebek,5,45000
Menu Pedas,Samyang Ayam Pedas,2,30000
Menu Pedas,Samyang Sapi Pedas,2,32000
