Kategori,Nama,Harga,Deskripsi
Terang Bulan Standard,Kacang,12000,
Terang Bulan Standard,Coklat,12000,
Terang Bulan Standard,Kacang + Coklat,14000,
Terang Bulan Standard,Kacang + Coklat + Keju,19000,
Terang Bulan Standard,Keju,17000,
Terang Bulan Standard,Keju + Kacang,18000,
Terang Bulan Standard,Keju + Coklat,18000,
Terang Bulan Pandan,Pandan Kacang,13000,
Terang Bulan Pandan,Pandan Coklat,13000,
Terang Bulan Pandan,Pandan Kacang + Coklat,15000,
Terang Bulan Pandan,Pandan Kacang + Coklat + Keju,21000,
Terang Bulan Pandan,Pandan Keju,20000,
Terang Bulan Pandan,Pandan Coklat Keju,20000,
Terang Bulan Pandan,Pandan Kacang + Keju,20000,
Terang Bulan Redvelvet,Red Velvet Kacang,14000,
Terang Bulan Redvelvet,Red Velvet Coklat,14000,
Terang Bulan Redvelvet,Red Velvet Kacang Coklat,16000,
Terang Bulan Redvelvet,Red Velvet Kacang Coklat Keju,21000,
Terang Bulan Redvelvet,Red Velvet Keju,20000,
Terang Bulan Redvelvet,Red Velvet Keju + Coklat,21000,
Terang Bulan Redvelvet,Red Velvet Keju + Kacang,21000,
Terang Bulan Blackforest,Blackforest Kacang,25000,
Terang Bulan Blackforest,Blackforest Coklat,25000,
Terang Bulan Blackforest,Blackforest Kacang Coklat,26000,
Terang Bulan Blackforest,Blackforest Kacang Coklat Keju,29000,
Terang Bulan Blackforest,Blackforest Keju,27000,
Terang Bulan Blackforest,Blackforest Keju Kacang,28000,
Terang Bulan Blackforest,Blackforest Keju Coklat,28000,
